varname,failed_checks,data_type,author,size
trna_finbert_sentiment_relevance_50_prn,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,jzhang|ssrivastava|szhou|yyoo,0.0
CP_answers_avg_negative,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_answers_avg_netural,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_answers_avg_positive,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_answers_wt_avg_negative,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_answers_wt_avg_netural,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_answers_wt_avg_positive,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_management_comment_avg_negative,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_management_comment_avg_netural,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_management_comment_avg_positive,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_management_comment_wt_avg_negative,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_management_comment_wt_avg_netural,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_management_comment_wt_avg_positive,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_questions_avg_negative,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_questions_avg_netural,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
CP_questions_avg_positive,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,szhou|ssrivastava|zhang|tpradhan,0.0
fs_ptiag_act_last_s,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,vkirimov|wdeng,0.0
cs_CAPSQ,check_not_all_zero_or_nan_valid,adj|raw,wdeng,0.0
cs_CAQ,check_not_all_zero_or_nan_valid,adj|raw,wdeng,0.0
cs_FCAQ,check_not_all_zero_or_nan_valid,adj|raw,wdeng,0.0
cs_FCAY,check_not_all_zero_or_nan_valid,adj|raw,wdeng,0.0
cs_IOBDY,check_not_all_zero_or_nan_valid,adj|raw,wdeng,0.0
cs_XCOMIQ,check_not_all_zero_or_nan_valid,adj|raw,wdeng,0.0
cs_XCOMIY,check_not_all_zero_or_nan_valid,adj|raw,wdeng,0.0
ibes_guid_eps_estimate_mean_next_a,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,ylu|wdeng,0.0
ibes_guid_eps_guidance_code_next_a,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,ylu|wdeng,0.0
ibes_guid_eps_next_a_enddate,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,ylu|wdeng,0.0
ibes_guid_eps_range_desc_next_a,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,ylu|wdeng,0.0
ibes_guid_eps_val1_next_a,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,ylu|wdeng,0.0
bbg_evts_GUIDANCE,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,zliu|hwang,0.0
bbg_evts_MERGER_ACQUISITION,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,zliu|hwang,0.0
bbg_evts_SHAREHOLDER_MEETING,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,zliu|hwang,0.0
trading_days_till_next_bbg_CONFERENCE_PRESENTATION,check_not_all_zero_or_nan_valid,adj_amend|adj|raw,zliu|hwang,0.0
